index,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
1,LAKESIDE MRT STATION EXIT A,,NIL,LAKESIDE MRT STATION EXIT A,LAKESIDE MRT STATION EXIT A,NIL,15437.58198,36237.10642,1.343987415,103.72043769999999,103.72043769999999
2,LAKESIDE MRT STATION EXIT C,,NIL,LAKESIDE MRT STATION EXIT C,LAKESIDE MRT STATION EXIT C,NIL,15579.9718,36271.9515,1.3443026000000002,103.72171709999999,103.72171709999999
3,LAKESIDE MRT STATION (EW26),201,BOON LAY WAY,LAKESIDE MRT STATION (EW26),201 BOON LAY WAY LAKESIDE MRT STATION SINGAPORE 649845,649845,15494.49695,36267.14703,1.344259115,103.7209491,103.7209491
4,OCBC LAKESIDE MRT STATION,201,BOON LAY WAY,OCBC LAKESIDE MRT STATION,201 BOON LAY WAY OCBC LAKESIDE MRT STATION SINGAPORE 649845,649845,15422.4669,36250.08421,1.344104775,103.72030190000001,103.72030190000001
5,UOB LAKESIDE MRT STATION,201,BOON LAY WAY,UOB LAKESIDE MRT STATION,201 BOON LAY WAY UOB LAKESIDE MRT STATION SINGAPORE 649845,649845,15422.4669,36250.08421,1.344104775,103.72030190000001,103.72030190000001
6,DBS LAKESIDE MRT STATION,201,BOON LAY WAY,DBS LAKESIDE MRT STATION,201 BOON LAY WAY DBS LAKESIDE MRT STATION SINGAPORE 649845,649845,15422.4669,36250.08421,1.344104775,103.72030190000001,103.72030190000001
0,TANAH MERAH MRT STATION EXIT A,,NIL,TANAH MERAH MRT STATION EXIT A,TANAH MERAH MRT STATION EXIT A,NIL,40517.09594,34343.80257,1.3268651000000002,103.9457914,103.9457914
1,TANAH MERAH MRT STATION EXIT B,,NIL,TANAH MERAH MRT STATION EXIT B,TANAH MERAH MRT STATION EXIT B,NIL,40509.49156,34365.89091,1.327064862,103.9457231,103.9457231
2,TANAH MERAH MRT STATION (EW4),920,NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION (EW4),920 NEW UPPER CHANGI ROAD TANAH MERAH MRT STATION SINGAPORE 467356,467356,40579.099780000004,34379.43168,1.327187291,103.9463486,103.9463486
3,DBS TANAH MERAH MRT STATION,920,NEW UPPER CHANGI ROAD,DBS TANAH MERAH MRT STATION,920 NEW UPPER CHANGI ROAD DBS TANAH MERAH MRT STATION SINGAPORE 467356,467356,40590.5734,34393.10939,1.327310982,103.9464517,103.9464517
4,OCBC TANAH MERAH MRT STATION,920,NEW UPPER CHANGI ROAD,OCBC TANAH MERAH MRT STATION,920 NEW UPPER CHANGI ROAD OCBC TANAH MERAH MRT STATION SINGAPORE 467356,467356,40557.65851,34360.4065,1.327015243,103.94615590000001,103.94615590000001
5,UOB TANAH MERAH MRT STATION,920,NEW UPPER CHANGI ROAD,UOB TANAH MERAH MRT STATION,920 NEW UPPER CHANGI ROAD UOB TANAH MERAH MRT STATION SINGAPORE 467356,467356,40626.1595,34387.730110000004,1.3272623190000001,103.9467715,103.9467715
